Frequency;Cores;CacheSize;P_orig;P;P_dyn_orig;P_dyn;P_dyn_rest;P_dyn_mem_orig;P_dyn_mem;P_dyn_arm_orig;P_dyn_arm;P_idle;P_idle_kfc;P_idle_arm;rps_orig;rps;IPC_orig;IPC;memory_heaviness_orig;memory_heaviness;IPR_orig;IPR;measured_P;measured_rps;delta_rps_rel;delta_P_rel;delta_rps;delta_P
900;1;64;4.688899095231626;4.686182956032315;0.7972979947151493;0.7945818555158377;0.24510692051658522;0.026511079761274016;0.02665431430554422;0.5256799944372901;0.5228206206937083;3.891601100516477;0.049196762920273376;0.09685730476934401;12664.844471961771;12525.056066340745;0.5146062235201543;0.512258463802947;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;4.78643905086118;12846.052203062745;0.025628319348176845;0.021393977949539816;320.9961367220003;0.10025609482886466
1e3;1;64;4.797767292208127;4.794134902636169;0.878092244900536;0.8744598553285774;0.26060718834675517;0.027334972832993666;0.02746755122522341;0.5901500837207871;0.5863851157565989;3.9196750473075914;0.059195333917410775;0.11493268056332087;13192.820541699037;13043.219427919072;0.48245336248824133;0.480105602771034;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;4.924556434178662;13477.165939186267;0.0332698927335632;0.027204393324596985;433.9465112671951;0.1304215315424928
1100;1;64;4.916532742045916;4.91202951204414;0.963941980783658;0.959438750781881;0.2742497678804757;0.02794615917672128;0.02806860954248557;0.661746053726461;0.6571203733589197;3.952590761262259;0.07041333468466024;0.13663039375073865;13592.883484548818;13434.301730677207;0.4518940174043602;0.44954625768715295;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;5.040752298455358;13795.162283676404;0.02686113206577547;0.026205621545146163;360.86055299919644;0.1287227864112177
1200;1;64;5.046968664682627;5.041640004193859;1.0566204223021485;1.0512917618133795;0.28603465911774706;0.028365261650379454;0.028478112115253314;0.742220501534022;0.7367789905803792;3.990348242380479;0.08285076522202174;0.16195044433159736;13878.105840719538;13711.290478646824;0.422928188268511;0.42058042855130373;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;5.185935842933291;14122.918962236632;0.03002113362202152;0.02862081358831661;411.62848358980773;0.1442958387394322
1300;1;64;5.190755815566151;5.184647134533218;1.1578083249038986;1.151699643870966;0.2959618620585691;0.028611827733707622;0.028715606423266087;0.833234635111622;0.8270221753891307;4.032947490662252;0.09650762552949528;0.19089283230589701;14061.560150419626;13887.173175859612;0.3955558750806938;0.39320811536348654;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;5.326912710989915;14296.598794927308;0.029482286559183186;0.027439779943578567;409.42561906769515;0.14226557645669669
1400;1;64;5.349482485654638;5.342639194020369;1.2690939795470597;1.2622506879127908;0.3040313767029419;0.028704329528262205;0.028799564568080298;0.9363582733158555;0.9294197466417686;4.080388506107578;0.11138391560708089;0.22345755767363754;14156.318953857495;13974.937326347237;0.3697770778409084;0.36742931812370117;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;5.4262851660683324;14287.217393544846;0.02234572219575262;0.015656301878214526;312.28006719760924;0.08364597204796365
1500;1;64;5.524644501416501;5.517112009123723;1.3919732127000435;1.3844407204072664;0.3102432030508654;0.02866016375741636;0.028747383273069076;1.0530698458917618;1.0454501340833318;4.132671288716457;0.1274796354547785;0.25964462043481906;14175.454791241582;13987.570434141393;0.3455917965491552;0.3432440368319478;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;5.573719107358253;14269.634171424097;0.020165313097850947;0.010260277141540274;282.0637372827041;0.056607098234529474
1600;1;64;5.717645224830408;5.7094689418219495;1.527849386341519;1.5196731033330608;0.3145973411023396;0.0284956517663602;0.028575383883422616;1.1847563934728194;1.1765003783472987;4.189795838488889;0.14479478507258822;0.2994540205894415;14132.040202780296;13938.060003273755;0.32300003120543375;0.3206522714882265;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;6.030063864973476;14255.470129960937;0.02277290574245119;0.056151443578782566;317.4101266871821;0.3205949231515266
1700;1;64;5.929795553385292;5.92102088960398;1.6780333979604174;1.6692587341791056;0.3170937908573646;0.028226039522100767;0.02829881236614786;1.332713567580952;1.3238661309555932;4.251762155424874;0.16332936446050994;0.3428857581375049;14039.14772868207;13839.393537775999;0.30200178180974435;0.299654022092537;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;6.026201373435072;14246.33894429095;0.0294048583418163;0.017763910276987104;406.9454065149512;0.10518048383109146
1800;1;64;6.162313920080338;6.152986285469002;1.8437436805559255;1.8344160459445884;0.3177325523159402;0.02786549761346186;0.027931839310068686;1.4981456306265235;1.4887516543185795;4.318570239524413;0.18308337361854374;0.38993983307900915;13909.849909155311;13704.558541679806;0.28259704836208677;0.2802492886448795;0.0021751494635651337;0.0022090836699999944;36569.387187776345;36808.82664163157;6.334829261572698;14248.378905921496;0.03968171339396041;0.029553613102167912;543.8203642416902;0.18184297610369615
